ID,Language_ID,Name,Description
stan1295-etwas,stan1295,Marker: etwas,
stan1295-irgend,stan1295,Marker: irgend,
stan1295-je,stan1295,Marker: je,
stan1295-jeder,stan1295,Marker: jeder,
stan1295-n-,stan1295,Marker: n-,
dutc1256-enig,dutc1256,Marker: enig,
dutc1256-iets,dutc1256,Marker: iets,
dutc1256-niets,dutc1256,Marker: niets,
stan1293-any,stan1293,Marker: any,
stan1293-ever,stan1293,Marker: ever,
stan1293-no,stan1293,Marker: no,
stan1293-some,stan1293,Marker: some,
swed1254-ingen,swed1254,Marker: ingen,
swed1254-nagon,swed1254,Marker: nagon,
swed1254-somhelst,swed1254,Marker: som helst,
icel1247-enginn,icel1247,Marker: enginn,
icel1247-n-,icel1247,Marker: n-,
icel1247-nokkur,icel1247,Marker: nokkur,
icel1247-semer,icel1247,Marker: sem er,
lati1261-ali-,lati1261,Marker: ali-,
lati1261--dam,lati1261,Marker: -dam,
lati1261--libet,lati1261,Marker: -libet,
lati1261-n-,lati1261,Marker: n-,
lati1261--quam,lati1261,Marker: -quam,
lati1261--vis,lati1261,Marker: -vis,
port1283-alg-,port1283,Marker: alg-,
port1283-n-,port1283,Marker: n-,
port1283-qualquer,port1283,Marker: qualquer,
stan1289-algun,stan1289,Marker: algun,
stan1289-cap,stan1289,Marker: cap,
stan1289-qualsevol,stan1289,Marker: qualsevol,
stan1290-nimporte,stan1290,Marker: n'importe,
stan1290-personne,stan1290,Marker: personne,
stan1290-quecesoit,stan1290,Marker: que ce soit,
stan1290-quelque,stan1290,Marker: quelque,
ital1282-nessuno,ital1282,Marker: nessuno,
ital1282-qualche,ital1282,Marker: qualche,
ital1282--unque,ital1282,Marker: -unque,
roma1327-ni-,roma1327,Marker: ni-,
roma1327-ori-,roma1327,Marker: ori-,
roma1327--va,roma1327,Marker: -va,
roma1327-vre-un,roma1327,Marker: vre-un,
mode1248--dhipote,mode1248,Marker: -dhipote,
mode1248-ka-,mode1248,Marker: ka-,
mode1248-tipota,mode1248,Marker: tipota,
bulg1262-ni-,bulg1262,Marker: ni-,
bulg1262-nja-,bulg1262,Marker: nja-,
bulg1262--toidae,bulg1262,Marker: -toidae,
sout1528-bilo,sout1528,Marker: bilo,
sout1528-i-,sout1528,Marker: i-,
sout1528-ne-,sout1528,Marker: ne-,
sout1528-ni-,sout1528,Marker: ni-,
poli1260--kolwiek,poli1260,Marker: -kolwiek,
poli1260-ni-,poli1260,Marker: ni-,
poli1260--s,poli1260,Marker: -s,
russ1263-bytonibylo,russ1263,Marker: by to ni bylo,
