language,Glottocode,form,specific known,specific unknown,irrealis nsp,question,conditional,indirect negation,direct negation,comparative,free choice
German,stan1295,etwas,1,1,1,1,1,1,0,0,0
German,stan1295,irgend,0,1,1,1,1,1,0,1,1
German,stan1295,je,0,0,0,1,1,1,0,1,0
German,stan1295,jeder,0,0,0,0,0,1,0,1,1
German,stan1295,n-,0,0,0,0,0,0,1,0,0
Dutch,dutc1256,enig,0,0,0,1,1,1,0,1,0
Dutch,dutc1256,iets,1,1,1,1,1,1,0,0,0
Dutch,dutc1256,niets,0,0,0,0,0,0,1,0,0
English,stan1293,any,0,0,0,1,1,1,1,1,1
English,stan1293,ever,0,0,0,1,1,1,1,1,0
English,stan1293,no,0,0,0,0,0,0,1,0,0
English,stan1293,some,1,1,1,1,1,0,0,0,0
Swedish,swed1254,ingen,0,0,0,0,0,0,1,0,0
Swedish,swed1254,nagon,1,1,1,1,1,1,1,1,0
Swedish,swed1254,som helst,0,0,0,0,0,0,0,1,1
Icelandic,icel1247,enginn,0,0,0,0,0,0,1,0,0
Icelandic,icel1247,n-,0,0,0,0,0,1,1,0,0
Icelandic,icel1247,nokkur,0,0,0,1,0,1,0,1,0
Icelandic,icel1247,sem er,0,0,0,0,0,0,0,0,1
Latin,lati1261,ali-,0,1,1,1,1,0,0,0,0
Latin,lati1261,-dam,1,0,0,0,0,0,0,0,0
Latin,lati1261,-libet,0,0,0,0,0,0,0,0,1
Latin,lati1261,n-,0,0,0,0,0,0,1,0,0
Latin,lati1261,-quam,0,0,0,1,1,1,0,1,0
Latin,lati1261,-vis,0,0,0,0,0,0,0,0,1
Portuguese,port1283,alg-,1,1,1,1,1,0,0,0,0
Portuguese,port1283,n-,0,0,0,0,0,1,1,0,0
Portuguese,port1283,qualquer,0,1,1,1,1,1,1,1,1
Catalan,stan1289,algun,1,1,1,1,1,1,0,0,0
Catalan,stan1289,cap,0,0,0,1,1,1,1,1,0
Catalan,stan1289,qualsevol,0,0,0,0,0,0,0,1,1
French,stan1290,n'importe,0,0,0,0,0,0,0,1,1
French,stan1290,personne,0,0,0,1,1,1,1,1,0
French,stan1290,que ce soit,0,0,0,1,1,1,1,1,1
French,stan1290,quelque,1,1,1,1,1,0,0,0,0
Italian,ital1282,nessuno,0,0,0,1,0,1,1,0,0
Italian,ital1282,qualche,1,1,1,1,1,1,0,0,0
Italian,ital1282,-unque,0,0,0,0,0,0,0,1,1
Romanian,roma1327,ni-,0,0,0,0,0,1,1,0,0
Romanian,roma1327,ori-,0,0,0,0,0,0,0,1,1
Romanian,roma1327,-va,1,1,1,1,1,0,0,0,0
Romanian,roma1327,vre-un,0,0,0,1,1,1,0,0,0
Modern Greek,mode1248,-dhipote,0,0,0,0,1,0,0,1,1
Modern Greek,mode1248,ka-,0,1,1,1,1,0,0,0,0
Modern Greek,mode1248,tipota,0,0,1,1,1,1,1,0,0
Bulgarian,bulg1262,ni-,0,0,0,0,0,1,1,0,0
Bulgarian,bulg1262,nja-,1,1,1,1,1,0,0,0,0
Bulgarian,bulg1262,-toidae,0,0,0,0,1,1,0,1,1
Serbo-Croatian,sout1528,bilo,0,0,0,1,1,1,0,1,1
Serbo-Croatian,sout1528,i-,0,0,0,1,1,1,0,1,0
Serbo-Croatian,sout1528,ne-,1,1,1,0,0,0,0,0,0
Serbo-Croatian,sout1528,ni-,0,0,0,0,0,0,1,0,0
Polish,poli1260,-kolwiek,0,0,0,1,1,1,0,1,1
Polish,poli1260,ni-,0,0,0,0,0,0,1,0,0
Polish,poli1260,-s,1,1,1,1,1,1,0,0,0
Russian,russ1263,by to ni bylo,0,0,0,0,1,1,0,1,0
Russian,russ1263,koe-,1,0,0,0,0,0,0,0,0
Russian,russ1263,-libo,0,0,1,1,1,1,0,1,0
Russian,russ1263,ni-,0,0,0,0,0,0,1,0,0
Russian,russ1263,-nibud,0,0,1,1,1,0,0,0,0
Russian,russ1263,-to,0,1,1,1,1,0,0,0,0
Russian,russ1263,ljuboj/ugodno,0,0,0,0,0,0,0,0,1
